(12,2)	(11,0,7.64);(11,1,13.32);(11,2,19.45);(11,3,26.24);(12,0,12.44);(12,1,6.28);(12,3,5.96);(13,0,14.14);(13,1,9.58);(13,2,7.87);(13,3,9.73);(14,0,18.98);(14,1,16.16);(14,2,15.27);(14,3,16.82);
(12,3)	(11,0,4.4);(11,1,7.86);(12,0,18.38);(12,1,12.2);(12,2,5.96);(13,0,19.35);(13,1,13.9);(13,2,9.43);(13,3,7.46);(14,0,22.85);(14,1,18.78);(14,2,15.95);(14,3,15.25);
(12,4)	(11,2,4.8);(13,4,5.52);(14,5,15.16);
(12,5)	(11,4,4.75);(13,5,5.72);(14,7,14.71);
(12,6)	(11,6,4.81);(11,7,20.38);(12,7,5.26);(12,8,11.86);(12,9,16.9);(13,6,5.03);(13,7,7.71);(13,8,12.77);(14,9,14.78);(14,10,16.38);(14,11,17.23);(14,12,26.7);(14,13,34.98);
(12,7)	(11,5,12.56);(11,6,7.42);(11,7,15.17);(12,6,5.26);(12,8,6.78);(12,9,11.93);(13,6,6.29);(13,7,4.8);(13,8,8.56);(14,9,15.7);(14,10,15.51);(14,11,14.02);(14,12,22.95);(14,13,31.14);
(12,8)	(11,5,18.29);(11,6,12.43);(11,7,8.64);(12,6,11.86);(12,7,6.78);(12,9,7.88);(13,6,12.48);(13,7,8.79);(13,8,8.21);(14,9,20.48);(14,10,18.68);(14,11,14.2);
(12,9)	(11,5,24.48);(11,6,19.09);(11,7,7.16);(12,6,16.9);(12,7,11.93);(12,8,7.88);(13,6,15.07);(13,7,10.28);(13,8,5.49);(14,8,23.73);(14,9,19.41);(14,10,15.75);(14,11,8.86);
(13,0)	(11,0,21.71);(11,1,27.1);(12,0,7.57);(12,1,9.4);(12,2,14.14);(12,3,19.35);(13,1,6.14);(13,2,12.44);(13,3,17.99);(14,0,7.87);(14,1,10.28);(14,2,14.86);(14,3,20.3);(14,4,26.1);
(13,1)	(11,0,16.92);(11,1,21.69);(12,0,10.09);(12,1,7.55);(12,2,9.58);(12,3,13.9);(13,0,6.14);(13,2,6.31);(13,3,11.85);(14,0,9.41);(14,1,7.72);(14,2,10.09);(14,3,14.8);
(13,2)	(11,0,13.41);(12,0,15.11);(12,1,10.31);(12,2,7.87);(12,3,9.43);(13,0,12.44);(13,1,6.31);(13,3,5.58);(14,0,13.83);(14,1,9.36);(14,2,7.41);(14,3,9.83);
(13,3)	(11,0,11.83);(12,0,19.99);(12,1,14.43);(12,2,9.73);(12,3,7.46);(13,0,17.99);(13,1,11.85);(13,2,5.58);(14,0,18.83);(14,1,13.6);(14,2,9.28);(14,3,7.81);
(13,4)	(11,2,10.31);(12,4,5.52);(14,5,9.65);
