(13,8)	(14,8,18.3);(14,9,14.14);(14,10,11.07);(14,11,6.1);	(11,6,15.95);(12,6,12.77);(12,7,8.56);(13,6,10);(13,7,5.3);	(14,11,6.1);	(11,6,15.95);(12,6,12.77);(12,7,8.56);(13,6,10);(13,7,5.3);(14,8,18.3);(14,9,14.14);(14,10,11.07);(14,11,6.1);
(14,3)	(14,4,6.41);(14,5,14.58);(14,6,19.77);(14,7,25.64);(14,8,30.45);(14,9,35.4);(14,10,40.57);	(11,0,19.6);(12,3,15.25);(13,3,7.81);(14,4,6.41);(14,5,14.58);(14,6,19.77);(14,7,25.64);(14,8,30.45);(14,9,35.4);(14,10,40.57);	(11,0,19.6);(12,3,15.25);(13,3,7.81);(14,4,6.41);(14,5,14.58);(14,6,19.77);(14,7,25.64);(14,8,30.45);(14,9,35.4);(14,10,40.57);	(11,0,19.6);(12,3,15.25);(13,3,7.81);
(14,4)	(14,3,6.41);(14,5,8.29);(14,6,13.44);(14,7,19.27);(14,8,24.09);(14,9,29.04);(14,10,34.25);	(14,3,6.41);(14,5,8.29);(14,6,13.44);(14,7,19.27);(14,8,24.09);(14,9,29.04);(14,10,34.25);	(14,5,8.29);(14,6,13.44);(14,7,19.27);(14,8,24.09);(14,9,29.04);(14,10,34.25);	(14,3,6.41);
(14,5)	(14,3,14.58);(14,4,8.29);(14,6,5.2);(14,7,11.11);(14,8,15.9);(14,9,20.83);(14,10,26);(14,11,33.25);	(11,2,19.96);(12,4,15.16);(13,4,9.65);(14,3,14.58);(14,4,8.29);(14,6,5.2);(14,7,11.11);(14,8,15.9);(14,9,20.83);(14,10,26);(14,11,33.25);	(11,2,19.96);(12,4,15.16);(13,4,9.65);(14,6,5.2);(14,7,11.11);(14,8,15.9);(14,9,20.83);(14,10,26);(14,11,33.25);	(11,2,19.96);(12,4,15.16);(13,4,9.65);(14,3,14.58);(14,4,8.29);
(14,6)	(14,3,19.77);(14,4,13.44);(14,5,5.2);(14,7,5.91);(14,8,10.7);(14,9,15.63);(14,10,20.82);(14,11,28.05);	(14,3,19.77);(14,4,13.44);(14,5,5.2);(14,7,5.91);(14,8,10.7);(14,9,15.63);(14,10,20.82);(14,11,28.05);	(14,7,5.91);(14,8,10.7);(14,9,15.63);(14,10,20.82);(14,11,28.05);	(14,3,19.77);(14,4,13.44);(14,5,5.2);
(14,7)	(14,3,25.64);(14,4,19.27);(14,5,11.11);(14,6,5.91);(14,8,4.82);(14,9,9.77);(14,10,15.02);(14,11,22.16);	(11,4,19.4);(12,5,14.71);(13,5,9.03);(14,3,25.64);(14,4,19.27);(14,5,11.11);(14,6,5.91);(14,8,4.82);(14,9,9.77);(14,10,15.02);(14,11,22.16);	(11,4,19.4);(12,5,14.71);(13,5,9.03);(14,8,4.82);(14,9,9.77);(14,10,15.02);(14,11,22.16);	(11,4,19.4);(12,5,14.71);(13,5,9.03);(14,3,25.64);(14,4,19.27);(14,5,11.11);(14,6,5.91);
(14,8)	(14,3,30.45);(14,4,24.09);(14,5,15.9);(14,6,10.7);(14,7,4.82);(14,9,4.97);(14,10,10.26);(14,11,17.37);	(13,8,18.3);(14,3,30.45);(14,4,24.09);(14,5,15.9);(14,6,10.7);(14,7,4.82);(14,9,4.97);(14,10,10.26);(14,11,17.37);	(13,8,18.3);(14,9,4.97);(14,10,10.26);(14,11,17.37);	(14,3,30.45);(14,4,24.09);(14,5,15.9);(14,6,10.7);(14,7,4.82);
(14,9)	(14,3,35.4);(14,4,29.04);(14,5,20.83);(14,6,15.63);(14,7,9.77);(14,8,4.97);(14,10,5.35);(14,11,12.5);	(11,6,19.58);(12,6,14.78);(12,7,15.7);(13,6,10);(13,7,11.77);(13,8,14.14);(14,3,35.4);(14,4,29.04);(14,5,20.83);(14,6,15.63);(14,7,9.77);(14,8,4.97);(14,11,12.5);	(11,6,19.58);(12,6,14.78);(12,7,15.7);(13,6,10);(13,7,11.77);(13,8,14.14);(14,10,5.35);(14,11,12.5);	(11,6,19.58);(12,6,14.78);(14,3,35.4);(14,4,29.04);(14,5,20.83);(14,6,15.63);(14,7,9.77);(14,8,4.97);
(14,10)	(14,3,40.57);(14,4,34.25);(14,5,26);(14,6,20.82);(14,7,15.02);(14,8,10.26);	(11,6,21.08);(12,6,16.38);(12,7,15.51);(13,6,11.38);(13,7,10.82);(13,8,11.07);(14,3,40.57);(14,4,34.25);(14,5,26);(14,6,20.82);(14,7,15.02);(14,8,10.26);(14,9,5.35);(14,11,7.71);	(11,6,21.08);(12,6,16.38);(12,7,15.51);(13,6,11.38);(13,7,10.82);(13,8,11.07);(14,11,7.71);	(11,6,21.08);(12,6,16.38);(12,7,15.51);(13,6,11.38);(13,7,10.82);(14,3,40.57);(14,4,34.25);(14,5,26);(14,6,20.82);(14,7,15.02);(14,8,10.26);(14,9,5.35);
(14,11)	(14,5,33.25);(14,6,28.05);(14,7,22.16);(14,8,17.37);(14,9,12.5);(14,10,7.71);	(11,6,21.14);(12,6,17.23);(12,7,14.02);(13,6,13.14);(13,7,9.64);(13,8,6.1);(14,5,33.25);(14,6,28.05);(14,7,22.16);(14,8,17.37);(14,9,12.5);	(13,8,6.1);	(11,6,21.14);(12,6,17.23);(12,7,14.02);(13,6,13.14);(13,7,9.64);(13,8,6.1);(14,5,33.25);(14,6,28.05);(14,7,22.16);(14,8,17.37);(14,9,12.5);(14,10,7.71);
